Customer ID,Name,Active,Email,Copy Email,Currency,Outstanding Balance,Past Due Balance,AutoPay,Users,Payment Terms,Tax Exempt Number,Billing Address Name,Billing Address1,Billing Address2,Billing City,Billing State,Billing Zip,Billing Country,Shipping Address Name,Shipping Address1,Shipping Address2,Shipping City,Shipping State,Shipping Zip,Shipping Country
AARONFIT0001,Aaron Fitz Electrical,Yes,kyle.woo@globalpay.com,,USD,$0.00,$0.00,No,0,Net 30,,Bob Fitz,One Microsoft Way,,Redmond,WA,98052-6399,USA,Bob Fitz,11403 45 St. South,,Chicago,IL,60603-0776,USA
ADAMPARK0001,Adam Park Resort,Yes,,,USD,$0.00,$0.00,No,0,Net 30,,Roberta Masouras,P.O. Box 1391,,Indianapolis,IN,46206-1391,USA,Roberta Masouras,Suite 9876,321 Chestnut Drive,Indianapolis,IN,46206-1391,USA
ADVANCED0001,Advanced Paper Co.,Yes,,,USD,$0.00,$0.00,No,0,Net 30,,Manoj Monat,456 19th Street S.,,Chicago,IL,60603-911,USA,Manoj Monat,456 19th Street S.,,Chicago,IL,60603-911,USA
ADVANCED0002,Advanced Tech Satellite System,Yes,,,USD,$0.00,$0.00,No,0,Net 30,,Grant Lasko,8765 66 Ave.,,Toronto,ON,M8D 7R5,Canada,Colm Cante,97 48 Ave,,Toronto,ON,M5D 7J5,Canada
ALTONMAN0001,Alton Manufacturing,Yes,,,USD,$0.00,$0.00,No,0,,,Jennifer Rossini,P.O. Box 3343,,Detroit,MI,48233-3343,USA,Ron Garland,348 23 East Ave,,Detroit,MI,48233,USA
AMERICAN0001,American Science Museum,Yes,,,USD,$0.00,$0.00,No,0,Net 30,,Andrew MacWilliams,789 North Carlton Place,,St. Louis,MO,63115,USA,Andrew MacWilliams,789 North Carlton Place,,St. Louis,MO,63115,USA
AMERICAN0002,American Electrical Contractor,Yes,,,USD,$0.00,$0.00,No,0,Net 30,,Sue Almassy-Wicker,3456 North Calumet Avenue,,Iowa City,IA,52240-1827,USA,Sid Watts,849 89 Ave E,,Iowa City,IA,52240-1827,USA
ASSOCIAT0001,Associated Insurance Company,Yes,,,USD,$0.00,$0.00,No,0,Net 30,,Dmitry Rodin,Box 3849,,Lincoln,NE,68502-3849,USA,Dmitry Rodin,321 Garden Mall,,Lincoln,NE,68502-3090,USA
ASTORSUI0001,Astor Suites,Yes,,,USD,$0.00,$0.00,No,0,Net 30,,Business Office,987 West Alaska Ave,,Gary,IN,46401-3455,USA,Pat Turner,436 Mitchell St. N.,,Gary,IN,46401-3455,USA
ATMORERE0001,Atmore Retirement Center,Yes,,,USD,$0.00,$0.00,No,0,Net 30,,Jane Donato,567 W 7th St.,,Bloomington,IL,61701-9392,USA,Jane Donato,567 W 7th St.,,Bloomington,IL,61701-9392,USA
BAKERSEM0001,Baker's Emporium Inc.,Yes,,,USD,$0.00,$0.00,No,0,Net 30,,Arthur Holmes,789 University Ave,,Fort Wayne,IN,46802-3918,USA,Arthur Holmes,789 University Ave,,Fort Wayne,IN,46802-3918,USA
BERRYMED0001,Berry Medical Center,Yes,,,USD,$0.00,$0.00,No,0,Net 30,,Accounting,Suite 189,2000 West Oak,Fond Du Lac,WI,54935-9990,USA,Development Office,Suite 123,1234 West Oak,Fond Du Lac,WI,54935-9990,USA
BLUEYOND0001,Blue Yonder Airlines,Yes,,,USD,$0.00,$0.00,No,0,Net 30,,,P.O. Box 5415,,Wichita,KS,67201,USA,Lt. James Whitson,P.O. Box 1234,,Wichita,KS,67201,USA
